"language","id","level","prompt","answer","choices","example","pronunciation","人の判定(OK/NG/保留)","備考"
"english","en-09224","5","「heel」の意味は？","かかと","かかと / ヘリコプター / 生存者 / 自治体","My left heel hurts after the long walk. — 長く歩いたあと、左のかかとが痛む。","/ˈhiɫ/","",""
"english","en-21508","7","「gadget」の意味は？","ガジェット","塹壕 / ガジェット / ちびっ子 / マント","My father bought a new kitchen gadget. — 父は新しい台所用ガジェットを買った。","/ˈɡædʒət/","",""
"english","en-01712","3","「witness」の意味は？","目撃者","信頼 / 海岸 / 目撃者 / 普通の","A witness saw the car accident clearly. — 目撃者はその自動車事故をはっきり見た。","/ˈwɪtnəs/","",""
"english","en-20080","6","「gunshot」の意味は？","銃声","銃声 / 仲間 / お母さん / 叫び","We heard a gunshot in the movie scene. — 映画の場面で銃声が聞こえた。","/ˈɡənˌʃɑt/","",""
"english","en-06358","5","「monkey」の意味は？","サル","小売業者 / サル / 草の / 間隔","A monkey climbed the tall tree quickly. — サルはすばやく高い木に登った。","/ˈməŋki/","",""
"english","en-00800","2","「unit」の意味は？","単位","スコア / 一致 / 単位 / 人口","A meter is a unit of length. — メートルは長さの単位だ。","/ˈjunət/","",""
"english","en-21248","6","「ghetto」の意味は？","スラム街","大当たり / 公然と / スラム街 / ケチャップ","The doctor opened a free clinic in the ghetto. — その医師はスラム街に無料の診療所を開いた。","/ˈɡɛtoʊ/","",""
"english","en-01019","2","「invite」の意味は？","招待する","招待する / 手配する / 写す / 警告する","We invited our neighbors to the party. — 私たちは隣人をパーティーに招待した。","/ˌɪnˈvaɪt/","",""
"english","en-20126","6","「confession」の意味は？","自白","にこにこした / ツル / 自白 / 〜さん","His honest confession surprised the teacher. — 彼の正直な自白は先生を驚かせた。","/kənˈfɛʃən/","",""
"english","en-20150","6","「hail」の意味は？","あられ","甥 / 自白 / 罪悪感 / あられ","Hail fell suddenly during the afternoon storm. — 午後の嵐の間に突然あられが降った。","/ˈheɪɫ/","",""
"english","en-01075","2","「wonderful」の意味は？","素晴らしい","ほとんど〜ない / 大きい / おもな / 素晴らしい","We had a wonderful time at the beach. — 浜辺で素晴らしい時間を過ごした。","/ˈwəndɝfəɫ/","",""
"english","en-20186","6","「alley」の意味は？","小路","罪悪感 / 頭痛 / 小路 / のどの渇いた","A small cat appeared from the narrow alley. — 狭い小路から小さなネコが現れた。","/ˈæɫi/","",""
"english","en-01061","2","「percentage」の意味は？","割合","消費者 / 割合 / 性 / 雑誌","A large percentage of students like music. — 大きな割合の生徒が音楽を好む。","/pɝˈsɛnədʒ/","",""
"chinese","zh-03955","5","「献」の意味は？","捧げる","判断する / 捧げる / 手当を出す / 信じる","他把一生都献给了教育。 — 彼は一生を教育に捧げた。","xiàn","",""
"chinese","zh-03431","5","「古老」の意味は？","古くからの","親しみ深い / 濃い / 古くからの / 心地よい","这是一座古老的城市。 — これは古くからの都市だ。","gǔlǎo","",""
"chinese","zh-03909","5","「推行」の意味は？","推し進める","推し進める / 収入 / （〜を）含めて / 話す","学校开始推行新的规定。 — 学校は新しい規則を推し進め始めた。","tuīxíng","",""
"chinese","zh-03931","5","「污染」の意味は？","汚染する","促す / 労働 / 汚染する / 大切にする","工厂的烟污染了空气。 — 工場の煙が空気を汚染した。","wūrǎn","",""
"chinese","zh-01590","3","「尽量」の意味は？","できるだけ","ついに / できるだけ / ただ / 時折","你要尽量早点来。 — あなたはできるだけ早く来なさい。","jǐnliàng","",""
"chinese","zh-03925","5","「胃」の意味は？","胃","ゼロ / 胃 / 茶碗 / チョコレート","他今天胃有点不舒服。 — 彼は今日胃が少し調子が悪い。","wèi","",""
"chinese","zh-01542","3","「记者」の意味は？","記者","基準 / 夜 / 火事になる / 記者","他是一名记者。 — 彼は記者だ。","jìzhě","",""
"chinese","zh-01534","3","「基本」の意味は？","基本的な","基本的な / 涼しい / 慌ただしい / 感動する","这是最基本的要求。 — これは最も基本的な要求だ。","jīběn","",""
"chinese","zh-00097","1","「房间」の意味は？","部屋","箱 / 木の葉 / 部屋 / 男女","我的房间很干净。 — 私の部屋はとても清潔だ。","fángjiān","",""
"chinese","zh-00027","1","「病」の意味は？","病気","西部 / 病気 / これによって / 女子","他生了一场病。 — 彼は病気にかかった。","bìng","",""
"chinese","zh-00057","1","「打电话」の意味は？","電話をかける","電話をかける / 子供の頃 / 零下 / 幽霊","我给妈妈打电话。 — 私は母に電話をかける。","dǎ diànhuà","",""
"chinese","zh-00047","1","「出」の意味は？","出る","強いられる / 暗示する / 出る / 報道する","太阳出来了。 — 太陽が出た。","chū","",""
"chinese","zh-03724","5","「枪」の意味は？","銃","国外 / 銃 / お腹 / 青年","警察带着一把枪。 — 警察は銃を一丁携えている。","qiāng","",""
"chinese","zh-03740","5","「情形」の意味は？","ありさま","国籍 / 手 / ありさま / 感情","请你说说当时的情形。 — 当時のありさまを話してください。","qíngxing","",""
"chinese","zh-00989","2","「提」の意味は？","持ち上げる","管理する / 〜すべき / 推し進める / 持ち上げる","他手里提着一个包。 — 彼は手にかばんを持ち上げている。","tí","",""
"chinese","zh-04080","5","「灾」の意味は？","災い","仲介 / いくつ / 電話 / 災い","今年这里没有大的灾。 — 今年ここには大きな災いがない。","zāi","",""
"chinese","zh-00931","2","「认为」の意味は？","〜と思う","〜と思う / 対比する / 破壊する / 独立する","我认为他是对的。 — 私は彼が正しいと思う。","rènwéi","",""
"chinese","zh-00909","2","「请客」の意味は？","おごる","おごる / 風邪 / いくつか / もし〜なら","今天我请客。 — 今日は私がおごる。","qǐngkè","",""
"chinese","zh-04172","5","「注视」の意味は？","注視する","発揮する / 注視する / 〜すべき / どうしようもない","他认真地注视着黑板。 — 彼は真剣に黒板を注視している。","zhùshì","",""
"chinese","zh-00783","2","「开心」の意味は？","楽しい","普遍的な / 単調な / 楽しい / 熱心な","今天玩得很开心。 — 今日はとても楽しく遊んだ。","kāixīn","",""
"chinese","zh-00793","2","「可是」の意味は？","しかし","踊り / しかし / ほどなくして / 表面","我想去，可是没有时间。 — 行きたい、しかし時間がない。","kěshì","",""
"chinese","zh-03956","5","「乡」の意味は？","田舎","眼鏡 / 田舎 / 団体 / 閲覧室","他很想回自己的家乡。 — 彼は自分の田舎にとても帰りたい。","xiāng","",""
"chinese","zh-03430","5","「估计」の意味は？","見積もる","上昇する / 近づく / 吐く / 見積もる","我估计明天会下雨。 — 私は明日雨が降ると見積もる。","gūjì","",""
"chinese","zh-03908","5","「团长」の意味は？","団長","団長 / アルファベット / 場合 / 美女","他是我们团的团长。 — 彼は私たちの団の団長だ。","tuánzhǎng","",""
"chinese","zh-03936","5","「舞」の意味は？","踊り","熱心な / 資本 / 見た目には / 踊り","她跳的舞非常好看。 — 彼女の踊りはとても美しい。","wǔ","",""
"chinese","zh-01591","3","「紧」の意味は？","きつい","消極的な / きつい / 見事な / 少なくとも","这件衣服有点紧。 — この服は少しきつい。","jǐn","",""
"chinese","zh-03924","5","「卫星」の意味は？","衛星","衛星 / 心理 / おととい / 歯","天上有很多人造卫星。 — 空にはたくさんの人工衛星がある。","wèixīng","",""
"chinese","zh-02210","4","「毕业」の意味は？","卒業する","貧しい人 / 花が咲く / 卒業する / 外交","他明年就要毕业了。 — 彼は来年卒業する。","bìyè","",""
"chinese","zh-01545","3","「技术」の意味は？","技術","技術 / 表情 / 準優勝 / 思いがけない","他的技术很好。 — 彼の技術はとても良い。","jìshù","",""
"chinese","zh-01535","3","「基本上」の意味は？","基本的に","免れない / もっと / ほとんど / 基本的に","工作基本上做完了。 — 仕事は基本的に終わった。","jīběnshàng","",""
"japanese","jp-04005","4","「助教授」の意味は？","assistant professor","iron manufacture / assistant professor / Buddhist temple / to omit","私は教授です、いやもっと正確に言えば、助教授です。 — I'm a professor, or rather an associate professor, to be exact.","じょきょうじゅ (jokyouju)","",""
"japanese","jp-06452","5","「大部」の意味は？","lengthy","lengthy / looking away / mouse / to grow senile","彼らは大部分若い娘たちだった。 — They were for the most part young girls.","たいぶ (taibu)","",""
"japanese","jp-01109","2","「見つける」の意味は？","to find","to find / paste / uproar / taste","彼の家を見つけるのに苦労した。 — I had a hard time finding his house.","みつける (mitsukeru)","",""
"japanese","jp-01171","2","「世話」の意味は？","care","customs / minuscule amount / care / noisy","あんたは世話の焼けるひとだね。 — You're a troublesome person!","せわする (sewasuru)","",""
"japanese","jp-01165","2","「直る」の意味は？","to get mended","to get mended / simple / a certain ... / auditorium","離婚から立ち直るには時間がかかる。 — It takes time to get over a divorce.","なおる (naoru)","",""
"japanese","jp-04126","4","「先祖」の意味は？","ancestor","to call / engine / ancestor / to hide","この先祖伝来の家宝は君の物だ。 — This heirloom shall be yours.","せんぞ (senzo)","",""
"japanese","jp-04130","4","「全般」の意味は？","(the) whole","shoes / bone fracture / ground / (the) whole","そのことは人間全般に言える。 — That can be said of mankind at large.","ぜんぱん (zenpan)","",""
"japanese","jp-04146","4","「そうっと」の意味は？","softly","to pass (e.g. car) / softly / fusuma / house","僕はそうっと自分の寝室に行った。 — I went up to my bedroom on tiptoe.","そうっと (soutto)","",""
"japanese","jp-04154","4","「測定」の意味は？","measurement","bowl / to delay / measurement / postage stamp","速度を測定する方法はいくつかある。 — There are several ways to measure speed.","そくてい (sokutei)","",""
"japanese","jp-05629","5","「貝殻」の意味は？","seashell","exclusive use / order / side / seashell","私は岸辺で美しい貝殻を見つけた。 — I found a beautiful shell on the shore.","かいがら (kaigara)","",""
"japanese","jp-06215","5","「庶務」の意味は？","general affairs","ingredient / retirement age / general affairs / a short while ago","彼女は庶務課に所属している。 — She is attached to the general affairs section.","しょむ (shomu)","",""
"japanese","jp-02474","3","「縁」の意味は？","rim","to spill / rim / import / business card","彼らは水瓶を縁まで一杯にした。 — So they filled them to the brim.","えん (en)","",""
"japanese","jp-02410","3","「利口」の意味は？","clever","character / clever / wonderful / large","彼女はあなたほど利口ではない。 — She is less intelligent than you.","りこう (rikou)","",""
"japanese","jp-04004","4","「初級」の意味は？","elementary level","poem / fast / battle / elementary level","これは初級の教科書です。 — This is a beginner's textbook.","しょきゅう (shokyuu)","",""
"japanese","jp-06453","5","「大便」の意味は？","feces","magnificent / dizziness / feces / medicine","病院で大便の検査をした。 — I had a stool examination at the hospital.","だいべん (daiben)","",""
"japanese","jp-01108","2","「田舎」の意味は？","rural area","rural area / quite / slope / patient's chart","彼らは戦争中田舎に住んでいた。 — They lived in the countryside during the war.","いなか (inaka)","",""
"japanese","jp-01172","2","「近所」の意味は？","neighbourhood","compensation / stone monument bearing an inscription / afternoon / neighbourhood","彼らは近所の人たちと仲がよい。 — They are on good terms with their neighbors.","きんじょ (kinjo)","",""
"japanese","jp-01164","2","「安心」の意味は？","peace of mind","moreover / peace of mind / cool / calligraphy (esp. Asian calligraphy based on Chinese characters)","ここはすごく安心感を覚えるわ。 — We feel very safe here.","あんしん (anshin)","",""
"japanese","jp-04127","4","「先端」の意味は？","pointed end","calendar / pointed end / fluorescent lamp / smoky","彼女は先端を行っています。 — She is on the cutting edge.","せんたん (sentan)","",""
"japanese","jp-06580","5","「調理」の意味は？","cooking","lawsuit / jacket / cooking / to get angry","この調理法は中国独特のものだ。 — This style of cooking is peculiar to China.","ちょうり (chouri)","",""
"japanese","jp-04137","4","「雑巾」の意味は？","house-cloth","house-cloth / as expected / moving from place to place / nice to meet you","雑巾とタオルを一緒くたにしてはいけない。 — You shouldn't keep towels and cleaning rags together.","ぞうきん (zoukin)","",""
"japanese","jp-04147","4","「送別」の意味は？","farewell","fire / farewell / employee / the former","送別会は来週行われるでしょう。 — The farewell party will take place next week.","そうべつ (soubetsu)","",""
"japanese","jp-04157","4","「素質」の意味は？","makings (of)","another time / makings (of) / hammer / to part","彼は将来指導者になる素質がある。 — He is a potential leader.","そしつ (soshitsu)","",""
"japanese","jp-03558","4","「かけざん」の意味は？","multiplication","criticism / multiplication / entrusting / battle","","かけざん (kakezan)","",""
"japanese","jp-04759","4","「目指す」の意味は？","to aim at (for, to do, to become)","curve / information / to swell / to aim at (for, to do, to become)","経済の安定はすべての政府の目指すところだ。 — A stable economy is the aim of every government.","めざす (mezasu)","",""
"japanese","jp-06216","5","「所有」の意味は？","possession","there / possession / by force / acceptable","彼は莫大な財産を所有している。 — He is possessed of a great fortune.","しょゆう (shoyuu)","",""
"japanese","jp-02475","3","「尾」の意味は？","tail","tail / to be tied together / traditional cap worn by Shinto clergy and courtiers / itemization","誰か尾の男を捕まえてください。 — Someone! Catch that man!","お (o)","",""
"japanese","jp-02429","3","「連続」の意味は？","continuation","oxygen / end of term / continuation / substitute","人生は全て活動の連続である。 — All life is a series of activities.","れんぞく (renzoku)","",""
"japanese","jp-02411","3","「離婚」の意味は？","divorce","devil / divorce / silence / international","時々、彼と離婚しようと思うの。 — Now and then I think of divorcing him.","りこん (rikon)","",""
"japanese","jp-02405","3","「楽」の意味は？","comfort","to follow / if / comfort / nodding off","旅ほど楽しいものはありません。 — Nothing is more delightful to me than travelling.","らく (raku)","",""
"korean","ko-01524","1","「햇살」の意味は？","日差し","日差し / よりによって / もしかして / 両親","","haetsal","",""
"korean","ko-00269","1","「지도」の意味は？","地図","だが / 地図 / 島 / 予防","나는 지도를 보고 길을 찾는다. — 私は地図を見て道を探す。","jido","",""
"korean","ko-00268","1","「표」の意味は？","切符","広告主 / 芸術 / 切符 / 自然","나는 기차 표를 산다. — 私は汽車の切符を買う。","pyo","",""
"korean","ko-01529","1","「뒷산」の意味は？","裏山","郵便局 / 机 / 賢明だ / 裏山","","dwitsan","",""
"korean","ko-00270","1","「교통」の意味は？","交通","環境 / 運賃 / 交通 / 家事","이 도시는 교통이 아주 편리하다. — この都市は交通がとても便利だ。","gyotong","",""
"korean","ko-01350","1","「가구」の意味は？","家具","電気 / お腹 / 医学 / 家具","","gagu","",""
"korean","ko-01528","1","「끼니」の意味は？","食事（回数）","食事（回数） / 自然だ / 学校の休み / 計画","","kkini","",""
"korean","ko-00271","1","「사고」の意味は？","事故","市役所 / ショートメール / ボーナス / 事故","길에서 작은 사고가 났다. — 道で小さな事故が起きた。","sago","",""
"korean","ko-00209","1","「경제」の意味は？","経済","答え / 経済 / 弁護士 / 不況","요즘 경제가 아주 어렵다. — 最近経済がとても厳しい。","gyeongje","",""
"korean","ko-01351","1","「가전제품」の意味は？","家電製品","体 / 家電製品 / 故郷 / 日陰","","gajeonjepum","",""
"korean","ko-00272","1","「경찰」の意味は？","警察","毎日 / 女 / 炒め物 / 警察","경찰이 길에서 사람들을 돕는다. — 警察が道で人々を助ける。","gyeongchal","",""
"korean","ko-00208","1","「역사」の意味は？","歴史","風 / 歴史 / 変だ / 故郷","나는 역사를 아주 좋아한다. — 私は歴史がとても好きだ。","yeoksa","",""
"korean","ko-01352","1","「청소기」の意味は？","掃除機","科目 / 教材 / 掃除機 / 傷跡","","cheongsogi","",""
"korean","ko-01332","1","「비누」の意味は？","石けん","記録 / 石けん / 家電製品 / 予防","","binu","",""
"korean","ko-00273","1","「우체국」の意味は？","郵便局","郵便局 / 足首 / ハードウェア / 費用","나는 우체국에서 편지를 보낸다. — 私は郵便局で手紙を送る。","ucheguk","",""
"korean","ko-00263","1","「운전」の意味は？","運転","背中 / 権利 / 運転 / 全く（〜ない）","그는 운전을 아주 잘한다. — 彼は運転がとても上手だ。","unjeon","",""
"korean","ko-01353","1","「다리미」の意味は？","アイロン","アイロン / いいえ / 教室 / アイスクリーム","","darimi","",""
"korean","ko-01343","1","「도마」の意味は？","まな板","銀行 / 唇 / まな板 / 失望","","doma","",""
"korean","ko-01333","1","「칫솔」の意味は？","歯ブラシ","お菓子 / 涙 / 薬局 / 歯ブラシ","","chitsol","",""
"korean","ko-00274","1","「대사관」の意味は？","大使館","ガス / 材料 / ワクチン / 大使館","나는 대사관에서 서류를 받는다. — 私は大使館で書類を受け取る。","daesagwan","",""
"korean","ko-00262","1","「건강」の意味は？","健康","健康 / 冬 / 延着 / 地震","가족의 건강이 제일 중요하다. — 家族の健康が一番大事だ。","geongang","",""
"korean","ko-00258","1","「사랑」の意味は？","愛","愛 / 〜台 / 牛乳 / 夏","가족의 사랑은 아주 크다. — 家族の愛はとても大きい。","sarang","",""
"korean","ko-01354","1","「선풍기」の意味は？","扇風機","扇風機 / 日差し / 知識 / 電気","","seonpunggi","",""
"korean","ko-00371","1","「부르다」の意味は？","呼ぶ","尋ねる / 呼ぶ / 生産する / 対処する","선생님이 학생의 이름을 부른다. — 先生が学生の名前を呼ぶ。","bureuda","",""
"korean","ko-01342","1","「칼」の意味は？","包丁","行政 / 梅雨 / 需要 / 包丁","","kal","",""
"korean","ko-01330","1","「걸레」の意味は？","雑巾","預金 / したがって / 雑巾 / おおむね","","geolle","",""
"korean","ko-00275","1","「극장」の意味は？","劇場","劇場 / 歯ブラシ / 準備 / 明確だ","우리는 극장에서 영화를 본다. — 私たちは劇場で映画を見る。","geukjang","",""
"korean","ko-00261","1","「약」の意味は？","薬","薬 / 腰 / スープ / 仕事","나는 하루에 세 번 약을 먹는다. — 私は一日に三回薬を飲む。","yak","",""
"korean","ko-00259","1","「연애」の意味は？","恋愛","清潔だ / 恋愛 / 唇 / 夜明け","그는 요즘 연애를 한다. — 彼は最近恋愛をしている。","yeonae","",""
"korean","ko-00205","1","「세계」の意味は？","世界","世界 / 面接 / 担当 / 損失","이 소식은 온 세계에 알려졌다. — この知らせは世界中に知られた。","segye","",""
"spanish","es-00602","2","「sur」の意味は？","south","madness / work / south / return","¿Dónde está la terminal sur? — 南ターミナルはどこですか。","sUr","",""
"spanish","es-01831","5","「arruinar」の意味は？","to ruin","to ruin / to flee / to think / to owe","Beber en exceso te va a arruinar la salud. — 飲みすぎると健康を害するよ。","arwinAr","",""
"spanish","es-00719","2","「copa」の意味は？","(wine) glass; drink","birthday / media / imagination / (wine) glass; drink","Sírvase otra copa. — もう１杯召し上がれ。","kOpa","",""
"spanish","es-01353","4","「gritar」の意味は？","to shout","to cry / to act / to shout / to discover","Él empezó a gritar. — 彼は叫び始めた。","gritAr","",""
"spanish","es-00799","2","「colega」の意味は？","colleague","colleague / prize / north / treaty","Él es mi colega. — 彼は私の仕事仲間である。","kolEga","",""
"spanish","es-00137","1","「suficiente」の意味は？","sufficient","hill / sufficient / testimony / interview","Tenemos suficiente comida. — 私たちに十分な食べ物がある。","sufithYente","",""
"spanish","es-00147","1","「clase」の意味は？","class, lesson, kind","lesson / achieved / class, lesson, kind / to control","Tengo clase mañana. — 明日授業があります。","klAse","",""
"spanish","es-00157","1","「loco」の意味は？","crazy, mad","crazy, mad / rescue / forehead / alliance","¿Cajas redondas? ¿Estás loco? — 円い箱か？あんた正気か？","lOko","",""
"spanish","es-00601","2","「diablo」の意味は？","devil","palace / television / devil / heart","Hasta el diablo llora. — 鬼の目にも涙。","dYablo","",""
"spanish","es-01830","5","「prohibido」の意味は？","forbidden","reward / bad / forbidden / to investigate","Prohibido pisar la hierba. — 芝生の上を歩くな。","proibIdo","",""
"spanish","es-01806","5","「lujo」の意味は？","luxury","luxury / to buy / honor / shrub","La televisión era un lujo antiguamente. — テレビは、昔ぜいたく品だった。","lUho","",""
"spanish","es-00718","2","「beso」の意味は？","kiss","book / to imagine / kiss / hero","Ella le devolvió el beso. — 彼女は彼にキスを返した。","bEso","",""
"spanish","es-01350","4","「ilegal」の意味は？","illegal","neck / physique / pizza / illegal","Tom es un inmigrante ilegal. — トムはね、不法滞在者なんだ。","ilegAl","",""
"spanish","es-00798","2","「enfermedad」の意味は？","illness","liberty / pair / dead person / illness","¿Su enfermedad se curará? — 彼の病気は治りますか。","enfermedAd","",""
"spanish","es-00136","1","「escucha」の意味は？","listening","hole / wallet / obvious / listening","¡Calla y escucha! — 黙って聞け！","eskUcha","",""
"spanish","es-00140","1","「equipo」の意味は？","team","team / charge / grass / hope","Nuestro equipo perdió. — わがチームが負けた。","ekIpo","",""
"spanish","es-00156","1","「igual」の意味は？","equal","guard, sentry / equal / warehouse / kiss","¡Me da igual! — 知るか！","igwAl","",""
"spanish","es-00196","1","「creer」の意味は？","to believe","to believe / to put out / to interrupt / to owe","Ver es creer. — 見ることは信じることである。","kreEr","",""
"spanish","es-00600","2","「bailar」の意味は？","to dance","to reassure / to dance / to lift / to bear","¿Vamos a bailar? — 一緒に踊りませんか？","bailAr","",""
"spanish","es-01837","5","「empleado」の意味は？","employee","tome / employee / alive / to capture","Mi padre es empleado de una empresa. — 私の父は会社員です。","empleAdo","",""
"spanish","es-01807","5","「religión」の意味は？","religion","grass / religion / inside, indoors / culpable person","No tengo ninguna opinión sobre la religión. — 宗教については何の意見も持っていない。","relihYon","",""
"spanish","es-01369","4","「condición」の意味は？","condition","welcome / condition / report / partner","Su condición mejora y empeora. — 彼の状態は良くなったり悪くなったりだ。","kondithYon","",""
"spanish","es-01351","4","「versión」の意味は？","version","grass / cover / version / famous","Su versión es cierta. — 彼女の話は本当である。","bersYon","",""
"spanish","es-00141","1","「grande」の意味は？","big, large","big, large / candy / demon / surname","¿Qué tan grande? — どのくらい広い？","grAnde","",""
"spanish","es-00155","1","「pensar」の意味は？","to think","to reassure / to send / to close / to think","Me cuesta pensar. — 頭が重い。","pensAr","",""
"spanish","es-00195","1","「habitación」の意味は？","room","district / happy / room / oil","¿Arreglo la habitación? — 部屋をきれいにしましょうか。","abitathYon","",""
"spanish","es-01836","5","「colección」の意味は？","collection","collection / object / bank / whisky","","kolegthYon","",""
"spanish","es-01804","5","「enhorabuena」の意味は？","congratulations","paper / one / congratulations / to look at","","enorabwEna","",""
"spanish","es-01368","4","「ducha」の意味は？","shower","explanation / brother / shower / saturday","Tom estaba en la ducha. — トムはお風呂に入っていた。","dUcha","",""
"spanish","es-00142","1","「llegar」の意味は？","to arrive","to arrive / doubt / whole, entire / circus","Lamento llegar tarde. — 遅刻してすみません。","yegAr","",""
"german","de-00684","2","「Miteinander」の意味は？","cooperation","recording; admission / damned / apart / cooperation","Zwei Ärzte fachsimpelten miteinander. — 二人の医者が医学の話をしていた。","","",""
"german","de-00696","2","「überrascht」の意味は？","surprised","also / surprised / threat / often","War Tom überrascht? — トムは驚いてた？","ybarAsht","",""
"german","de-00656","2","「Gold」の意味は？","gold","bear / nearness / wood / gold","Schweigen ist Gold. — 言わぬが花。","golt","",""
"german","de-00620","2","「Geburtstag」の意味は？","birthday","wash / check / birthday / invented","Wer hat Geburtstag? — 誰の誕生日？","gabUatstak","",""
"german","de-00636","2","「verändert」の意味は？","changed","to confirm / possibility / changed / rope","Das Klima verändert sich. — 気候は変化している。","feaEndat","",""
"german","de-01743","5","「erwischen」の意味は？","to catch","to catch / to use / to beat / to go","Der Verkehrsunfall hinderte mich daran den Zug zu erwischen. — その事故のせいで、列車に乗り遅れてしまった。","ervIshan","",""
"german","de-01753","5","「Kreis」の意味は？","circle","future / feeling / circle / pass","Zeichne einen Kreis. — 円を描いてくれ。","krais","",""
"german","de-00898","3","「Lösung」の意味は？","solution","solution / next to it / to know / eye","Streit ist keine Lösung. — 喧嘩では何事も解決しない。","lEzung","",""
"german","de-00818","3","「daher」の意味は？","from there","from there / elegant / to dream / to wash","Daher kam ich zu spät zum Unterricht. — こういうわけで私は学校に遅れた。","dAhea","",""
"german","de-01051","3","「stehlen」の意味は？","to steal","applause / task / energy / to steal","Geld zu stehlen ist nicht richtig. — お金を盗むのは良くない。","shtElan","",""
"german","de-01019","3","「Zufall」の意味は？","chance","chance / traitor / energy / nose","Was für ein Zufall! — 偶然だね！","tsUfal","",""
"german","de-01029","3","「ähnlich」の意味は？","similar","similar / project / bum / bet","Wem sieht er ähnlich? — 彼は誰に似ていますか。","Enlih","",""
"german","de-00685","2","「wohnen」の意味は？","to live","to warn / to watch out / to see / to live","Sie wohnen dort. — 彼らはそこにすんでいる。","vOnan","",""
"german","de-00691","2","「zweite」の意味は？","second","deep / expected / second / whole","Japan ist sozusagen seine zweite Heimat. — 日本はいわば彼の第２の故郷です。","tsvAita","",""
"german","de-00659","2","「Wein」の意味は？","wine","king / amazing / wine / except","Sie mag Wein. — 彼女はぶどう酒が好きだ。","vain","",""
"german","de-00621","2","「Haut」の意味は？","skin","memory / skin / annoying noise / secret","Ihre Haut ist glatt. — 彼女の肌は滑らかです。","haut","",""
