priority,language,id,headword,field,currentValue,suggestedValue,reason,issueCategory,severity,confidence,dictionaryCheckRequired,humanReviewRequired,decision,reviewNote
P2-high,en,en-01147,responsible,tags,動詞,形容詞,品詞タグ「動詞」が誤り。和訳・例文の用法から品詞は「形容詞」。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-01149,physical,tags,名詞,形容詞,和訳「身体の」・例文は形容詞用法だが品詞タグは「名詞」。名詞用法もあるが本項の主要義は形容詞。,pos_mismatch,high,0.95,true,true,,
P2-publication-risk,en,en-02892,john,example,John is as old as I. — ジョンは私と同い年です。,May I use the john? — お手洗いを使ってもいいですか。,例文が固有名詞Johnを使い、answer「手洗い」の語義を示していない,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-02925,yahoo,example,"I use ""Yahoo"" to browse the internet. — インターネットの閲覧にYahooを使っている。",That loud yahoo shouted at everyone. — あの乱暴者はみんなに怒鳴った。,例文がブランド名Yahooを使い、answer「乱暴者」の語義を示していない,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-02944,august,example,August is coming to an end. — 8月が終わろうとしています。,The king had an august presence. — その王には威厳のある雰囲気があった。,例文が月名Augustを使い、answer「威厳のある」の語義を示していない,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-03104,japan,example,Japan was hard up for oil. — 日本は石油が不足して困っていた。,The box is coated with black japan. — その箱は黒い漆で塗られている。,例文が国名Japanを使い、answer「黒い漆」の語義を示していない,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-03158,zip,example,"He's beating me, three to zip. — ３対０で彼には負けています。",The arrow flew past with a zip. — 矢がビュッという音を立てて飛び過ぎた。,例文のzipは「ゼロ(3対0)」の意で、answer「ビュッという音」と不一致,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-03215,smith,example,Smith replied that he was sorry. — スミスは残念だと答えた。,The smith made a horseshoe. — かじ屋は蹄鉄を作った。,例文が姓Smithを使い、answer「かじ屋」の語義を示していない,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-03282,valid,example,This ticket is valid for one week. — この切符は1週間有効だ。,That is my considered opinion. — それは私のよく考えた意見だ。,例文のconsideredは動詞「思った/みなした」で、answer「よく考えた」と不一致,example_sense_mismatch,high,0.9,false,true,,
P2-publication-risk,en,en-03318,pacific,example,He crossed the immense pacific on a raft. — 彼は広大な太平洋をいかだで横断した。,He has a pacific nature. — 彼は平和的な性質だ。,例文のpacificは太平洋(the Pacific)を指し、answer「平和的な」と不一致,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-03381,martin,example,"Martin seemed very tired, didn't he? — マーティンはとても疲れているようでしたね。",A martin built a nest under the roof. — イワツバメが屋根の下に巣を作った。,例文が人名Martinを使い、answer「イワツバメ」の語義を示していない,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-03412,tom,example,Tom is in a bad mood. — トムは機嫌が悪い。,The tom fought another cat. — その雄猫は別の猫とけんかした。,例文が人名Tomを使い、answer「雄」の語義を示していない,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-03469,lee,example,Mrs. Lee is a great talker. — リイさんは話上手です。,We rested in the lee of the wall. — 私たちは壁の物陰で休んだ。,例文が姓Leeを使い、answer「物陰」の語義を示していない,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-03505,bob,example,Bob will be home at six. — ボブは６時には帰っています。,The bob hung at the end of the line. — おもりが糸の先に下がっていた。,例文が人名Bobを使い、answer「おもり」の語義を示していない,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-03520,ford,example,Mr Ford is all right now. — フォード氏はもう大丈夫です。,We crossed the river at the ford. — 私たちは浅瀬で川を渡った。,例文が姓Fordを使い、answer「浅瀬」の語義を示していない,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-03602,informed,example,I informed him of the result. — 私は彼に結果を知らせた。,She is a well-informed reader. — 彼女は情報に通じた読者だ。,例文のinformedは動詞「知らせた」で、answer「情報に通じた」と不一致,example_sense_mismatch,high,0.9,false,true,,
P2-publication-risk,en,en-03616,covered,example,It was all covered with dust. — それはすっかり埃で覆われていた。,They crossed the plains in a covered wagon. — 彼らはおおいのある幌馬車で平原を渡った。,例文のcoveredは動詞受動「覆われた」で、answer「おおいのある」と不一致,example_sense_mismatch,high,0.9,false,true,,
P2-publication-risk,en,en-03750,stated,example,I only stated the obvious. — 当然のことを言ったまでよ。,We meet at the stated time. — 私たちは決まった時刻に会う。,例文のstatedは動詞過去「述べた」で、answer「決まった」と不一致,example_sense_mismatch,high,0.9,false,true,,
P2-publication-risk,en,en-03755,decided,example,I decided to buy a car. — 車を買うことに決めた。,There is a decided difference between them. — 両者には明白な違いがある。,例文のdecidedは動詞過去「決めた」で、answer「明白な」と不一致,example_sense_mismatch,high,0.9,false,true,,
P2-publication-risk,en,en-03805,vintage,example,Is this a vintage car? — 旧車ですか。,1990 was a great vintage. — 1990年は優良ぶどう酒の当たり年だった。,例文のvintageは「年代物の(vintage car)」の意で、answer「優良ぶどう酒」と不一致,example_sense_mismatch,high,0.9,false,true,,
P2-publication-risk,en,en-03820,con,example,There are pros and cons to anything. — なんにでも、長所と短所の両方がある。,He voted con on the motion. — 彼はその動議に反対票を投じた。,例文のconsは「短所」の意で、answer「反対投票」とずれる(訳も長所と短所),example_sense_mismatch,high,0.9,false,true,,
P2-publication-risk,en,en-03894,contained,example,His speech contained many fine phrases. — 彼の演説には数々のすばらしい言い回しが含まれていた。,She stayed calm and contained. — 彼女は落ち着いて物静かなままだった。,例文のcontainedは動詞「含んでいた」で、answer「物静かな」と不一致,example_sense_mismatch,high,0.9,false,true,,
P2-publication-risk,en,en-03929,removed,example,The plaque has to be removed. — 歯垢をとらなければなりません。,Their view is far removed from mine. — 彼らの考えは私のとは遠くかけ離れている。,例文のremovedは動詞受動「取り除かれる(歯垢)」で、answer「遠く離れた」と不一致,example_sense_mismatch,high,0.9,false,true,,
P2-publication-risk,en,en-03969,toll,example,Call us toll-free at 1-800-446-2581. — フリーダイヤル１—８００—４４６—２５８１にお電話ください。,The church bells toll for the dead. — 教会の鐘が死者のために鳴る。,例文のtollは「通行料(toll-free)」の意で、answer「鳴る」と不一致,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-04012,phoenix,example,Phoenix is the capital of Arizona. — フェニックスはアリゾナの州都である。,The phoenix rose from the ashes. — 不死鳥は灰から蘇った。,例文が都市名Phoenixを使い、answer「不死鳥」の語義を示していない,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-04080,victoria,example,Queen Victoria was the sovereign of Great Britain. — ビクトリア女王は英国の君主だった。,They rode through the park in a victoria. — 彼らは四輪馬車で公園を進んだ。,例文が人名Victoria(女王)を使い、answer「四輪ほろ馬車」の語義を示していない,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-04192,holding,example,He is holding up her work. — 彼は彼女の仕事を妨げている。,Keep a firm holding on the rope. — ロープをしっかり握っていなさい。,例文のholding upは「妨げる」の意で、answer「しっかり握ること」と不一致,example_sense_mismatch,high,0.9,false,true,,
P2-publication-risk,en,en-04360,becoming,example,He is afraid of becoming sick. — 彼は病気になるのではないかと恐れている。,That dress is very becoming on you. — そのドレスはあなたにとても似合っている。,例文のbecomingは動名詞「〜になること」で、answer「似合った」と不一致,example_sense_mismatch,high,0.9,false,true,,
P2-publication-risk,en,en-04361,safari,example,A translation widget compatible with the Safari browser is required. — Safariブラウザに対応した翻訳ウィジェットが必要です。,We went on a safari in Africa. — 私たちはアフリカへ遠征旅行に行った。,例文がブラウザ名Safariを使い、answer「遠征旅行」の語義を示していない,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-04411,ultra,example,Infrared and ultra-violet rays are types of light invisible to the human eye. — 赤外線や紫外線は、人の目には見えない光である。,His political views are too ultra for me. — 彼の政治的な考えは私には極端すぎる。,例文はultra-violet(接頭辞)の用法で、answer「極端な(形容詞)」を単独で示していない,example_sense_mismatch,high,0.9,false,true,,
P2-publication-risk,en,en-04486,collected,example,He collected a lot of stamps. — 彼は切手をたくさん集めた。,She remained calm and collected. — 彼女は落ち着いたままだった。,例文のcollectedは動詞過去「集めた」で、answer「落ち着いた」と不一致,example_sense_mismatch,high,0.9,false,true,,
P2-publication-risk,en,en-04490,guinea,example,I have a guinea pig. — モルモットを飼ってるんだ。,The suit cost twenty guineas. — そのスーツは20ギニーだった。,例文のguinea pig(モルモット)はanswer「ギニー金貨」と不一致,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-04506,vat,example,Does that price include VAT? — その価格って、付加価値税も入ってる？,The wine is stored in a large vat. — ワインは大きなおけに貯蔵されている。,例文のVATは付加価値税の意で、answer「大おけ」と不一致,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-04541,ordered,example,He ordered a cup of tea. — 彼は紅茶を注文した。,He keeps an ordered desk. — 彼は整然とした机を保っている。,例文のorderedは動詞過去「注文した」で、answer「整然とした」と不一致,example_sense_mismatch,high,0.9,false,true,,
P2-publication-risk,en,en-06006,chi,example,Ho Chi Minh City is the largest city in Vietnam. — ホーチミン市はベトナムで最も大きな都市だ。,,例文の「Chi」は地名Ho Chi Minh（ホーチミン）の一部の固有名詞であり、見出し語chi（ギリシャ文字カイ/気）の語義を例示していない。,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-06154,brad,example,Brad Pitt is an actor. — ブラッド・ピット様は俳優です。,,例文の「Brad」は人名Brad Pitt（固有名詞）であり、見出し語brad（鉄線くぎ）の語義を例示していない。,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-06181,latex,example,I transcribed the original mimeographed edition into LATEX. — ガリ版刷りの原書をLATEXで清書した。,,例文の「LATEX」は組版システムLaTeXを指し、見出し語latex（ラテックス＝ゴム乳液）の語義を例示していない。,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-06240,turner,example,Turner stands out among the painters of his time. — ターナーは同時代の画家の中でも傑出している。,,例文の「Turner」は画家ターナー（固有名詞）であり、見出し語turner（回す人・旋盤工）の語義を例示していない。,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-06272,macintosh,example,The first Macintosh PC was released in 1984. — 初代Macは1984年にリリースされた。,,例文の「Macintosh」はコンピュータのMacを指し、見出し語（防水コート）の語義を例示していない。雨具の綴りは通常mackintosh。,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-06281,hanging,example,I am hanging up my shirts. — シャツを掛けているところです。,,例文の「hanging up my shirts」は『掛ける』の意で、見出し語hanging（絞首刑）の語義を例示していない。,example_sense_mismatch,high,0.98,false,true,,
P2-publication-risk,en,en-06480,spec,example,Does he wear specs? — メガネをしてますか？,,例文の「specs」は眼鏡（spectacles）の意で、見出し語spec（仕様・スペック）の語義を例示していない。,example_sense_mismatch,high,0.96,false,true,,
P2-publication-risk,en,en-06502,mounting,example,Signs of social unrest are mounting. — 社会不安の兆候が高まりつつある。,,例文の「mounting」は『高まる』という動詞用法で、見出し語mounting（据えつけ）の名詞義を例示していない。,example_sense_mismatch,high,0.96,false,true,,
P2-publication-risk,en,en-09398,wan,example,His strength is waning. — 彼の体力は弱まりつつある。,Her wan face showed how tired she was. — 彼女の青白い顔は、どれほど疲れているかを表していた。,見出し語は形容詞 wan（青白い）だが、例文は別語の動詞 wane の現在分詞『waning』を使用しており、exampleFormも『waning』。見出し語そのものが例文に現れていない。,example_sense_mismatch,high,0.95,false,true,,
P2-publication-risk,en,en-20098,firing,example,The scandal could lead to the firing of some senior officials. — このスキャンダルで一部の高官が罷免される可能性がある。,,answer『発射』に対し、例文のfiringは『解雇・罷免』の意で語義が完全に異なる。学習者に誤った語義連想を与える。,example_sense_mismatch,high,0.82,false,true,,
P2-publication-risk,en,en-20115,bust,example,He got busted. — あいつ捕まったんだよ。,,answer『半身像』(名詞)に対し、例文のbusted(get busted=捕まる)は全く別語義。語義・用法とも不一致。,example_sense_mismatch,high,0.8,false,true,,
P2-publication-risk,en,en-20274,hooked,example,I'm hooked on yachts now. — 今はヨットにハマっています。,,answer『かぎ形の』に対し、例文の『be hooked on』は『夢中になる・ハマる』の意で語義が完全に異なる。加えてtagsが名詞だが形容詞的用法。,example_sense_mismatch,high,0.8,false,true,,
P2-publication-risk,en,en-20363,scotch,example,This Scotch tape doesn't stick. — このセロテープ、くっつかないんだけど。,,answer『押しつぶす』(動詞)に対し、例文の『Scotch tape』は商標(セロテープ)で語義・品詞とも全く無関係。,example_sense_mismatch,high,0.85,false,true,,
P2-publication-risk,en,en-20434,smashed,example,The bottle smashed to pieces. — 瓶は粉々に割れた。,,answer『酔っぱらった』(俗語)に対し、例文のsmashedは『粉々に割れた』で語義が完全に異なる。,example_sense_mismatch,high,0.82,false,true,,
P2-publication-risk,en,en-20483,cracking,example,Let's get cracking at 8. — ８時から始めよう。,,answer『ひび割れ，割れること』に対し、例文の『get cracking』は『始める・取りかかる』の慣用句で語義が完全に異なる。,example_sense_mismatch,high,0.8,false,true,,
P2-high,en,en-20527,convincing,tags,動詞,形容詞,訳「説得力のある」は形容詞。品詞タグ『動詞』は不一致。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-20530,torch,tags,動詞,名詞,訳「たいまつ」は名詞。品詞タグ『動詞』は不一致。torch=たいまつ（名詞）。動詞用法もあるが訳・例文は名詞,pos_mismatch,high,0.97,true,true,,
P2-high,en,en-20535,crowded,tags,名詞,形容詞,訳「込み合った」は形容詞。品詞タグ『名詞』は不一致。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-20546,sadly,tags,名詞,副詞,訳「悲しそうに」は副詞。品詞タグ『名詞』は不一致。正しくは副詞（当データセット未使用タグのため導入判断が必要）。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-20556,hostile,tags,動詞,形容詞,訳「敵意のある」は形容詞。品詞タグ『動詞』は不一致。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-20567,magician,tags,形容詞,名詞,訳「魔法使い」は名詞。品詞タグ『形容詞』は不一致。magician=手品師/魔術師（名詞）,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-20576,sensible,tags,動詞,形容詞,訳「分別がある」は形容詞。品詞タグ『動詞』は不一致。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-20581,awhile,tags,動詞,副詞,訳「しばらく」は副詞。品詞タグ『動詞』は不一致。正しくは副詞（当データセット未使用タグのため導入判断が必要）。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-20582,deliberately,tags,名詞,副詞,訳「故意に」は副詞。品詞タグ『名詞』は不一致。正しくは副詞（当データセット未使用タグのため導入判断が必要）。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-20597,mentally,tags,名詞,副詞,訳「精神的に」は副詞。品詞タグ『名詞』は不一致。正しくは副詞（当データセット未使用タグのため導入判断が必要）。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-20617,vengeance,tags,動詞,名詞,訳「復しゅう」は名詞。品詞タグ『動詞』は不一致。vengeance=復しゅう（名詞）,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-20626,emotionally,tags,名詞,副詞,訳「感情的に」は副詞。品詞タグ『名詞』は不一致。正しくは副詞（当データセット未使用タグのため導入判断が必要）。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-20633,wheelchair,tags,動詞,名詞,訳「車いす」は名詞。品詞タグ『動詞』は不一致。wheelchair=車いす（名詞）,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-20642,ambitious,tags,動詞,形容詞,訳「野心のある」は形容詞。品詞タグ『動詞』は不一致。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-20662,sharply,tags,動詞,副詞,訳「鋭く」は副詞。品詞タグ『動詞』は不一致。正しくは副詞（当データセット未使用タグのため導入判断が必要）。,pos_mismatch,high,0.98,true,true,,
P2-high,en,en-20663,wardrobe,tags,動詞,名詞,訳「衣装だんす」は名詞。品詞タグ『動詞』は不一致。wardrobe=衣装だんす（名詞）,pos_mismatch,high,0.98,true,true,,
