priority,language,id,headword,enTerms,jaTranslation,jmdictSense,note,humanDecision,humanNote
P3(多くは同義語差),english,en-01156,fair,fair,公平な,chopped burdock root (and sometimes carrot) cooked in sugar and soy sauce; fairness; impartiality,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01161,lay,lay,置く,to put; to place; to leave (behind),JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01164,launch,launch,開始する,start; commencement; beginning,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01171,advertise,advertise,広告する,advertisement; advertising; announcement,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01178,extent,extent,程度,degree; amount; grade,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01181,respond,respond,応答する,reply; answer; response,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01194,guide,guide,案内する,guidance; leading (the way); showing around,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01195,initial,initial,最初の,beginning; outset; first,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01225,emerge,emerge,現れる,to appear; to come in sight; to become visible,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01226,demonstrate,demonstrate,実証する,demonstration; verification; substantiation,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01243,arrange,arrange,手配する,arrangement; preparations; search (by police),JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01244,expense,expense,支出,expenditure; disbursement; expenses,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01245,combine,combine,結合する,combination; union; joining,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01250,shift,shift,変える,to change; to alter; to transform,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01255,entire,entire,全体の,whole; entirety; to begin with,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01260,circumstance,circumstance,状況,state of affairs; situation; conditions,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01261,confirm,confirm,確認する,confirmation; verification; validation,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01264,contribute,contribute,貢献する,contribution (furthering a goal or cause); services (to a cause); paying tribute,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01269,lady,lady,女性,woman; female; feminine gender,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01279,variable,variable,変わりやすい,changeable; unsettled; inconstant,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01283,proceed,proceed,進む，続行する,continuation; continuance; going on,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01309,critical,critical,重大な,serious; important; significant,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01320,plus,plus,加えて,additionally; in addition; moreover,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01323,promote,promote,促進する,promotion; acceleration; encouragement,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01328,appreciate,appreciate,感謝する,thanks; gratitude; appreciation,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01344,environmental,environmental,環境の,environment; surroundings; circumstances,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01351,settle,settle,解決する,settlement; solution; resolution,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01365,delay,delay,延期する,postponement; deferment; adjournment,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01367,connect,connect,連結する,connection; linking; joining,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01379,engage,engage,従事する,engaging in (work); pursuing (e.g. studies); following (a profession),JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01385,tourist,tourist,旅行者,traveller; traveler,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01387,expand,expand,拡大する,expansion; extension; magnification,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01388,historical,historical,歴史の,history,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01393,host,host,主催者,sponsor; promoter; impresario,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01396,council,council,議会,congress; parliament; diet,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01412,acquire,acquire,習得する,"learning; acquisition (of a skill, knowledge, etc.)",JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01422,assess,assess,評価する,valuation; appraisal; evaluation,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01429,actual,actual,現実の,reality; actuality; hard fact,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01452,tough,tough,頑丈な,solid; firm; stout,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01462,arrangement,arrangement,取り決め,decision; agreement,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01464,oppose,oppose,反対する,opposition; resistance; antagonism,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01467,relevant,relevant,関連する,relation; connection; relevance,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01476,domestic,domestic,家庭の,home; household; family,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-01477,pack,pack,包み,bundle; package; parcel,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
