priority,language,id,headword,currentTags,suggestedTags,answer,example,exampleForm,dictionaryPos1,dictionaryPos2,decisionStatus,reason,confidence,humanDecision,humanNote
P2,english,en-20617,vengeance,動詞,,復しゅう,The old tale warns against seeking vengeance.,vengeance,noun,noun,multiple_pos_record_ambiguous,例文なし。多品詞[noun]/answer曖昧/慎重語→人手,0,,
P2,english,en-20642,ambitious,動詞,,野心のある,The ambitious student wants to study abroad.,ambitious,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-20729,thoughtful,動詞,,思いやりのある,The thoughtful boy carried the old lady's bag.,thoughtful,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-21063,contempt,動詞,,軽べつ,He looked at the cheater with contempt.,contempt,noun,noun,multiple_pos_record_ambiguous,例文なし。多品詞[noun]/answer曖昧/慎重語→人手,0,,
P2,english,en-21294,courageous,動詞,,勇気のある,The courageous nurse worked through the storm.,courageous,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-21325,redemption,形容詞,,罪のあがない,The novel is a story of redemption and hope.,redemption,noun,noun,multiple_pos_record_ambiguous,例文なし。多品詞[noun]/answer曖昧/慎重語→人手,0,,
P2,english,en-21344,shameful,名詞,,恥ずべき,Wasting food is a shameful habit.,shameful,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-21580,sensational,動詞,,世間を騒がせる,The newspaper printed a sensational story.,sensational,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-21598,idiotic,名詞,,ばかげた,Leaving the door open was an idiotic mistake.,idiotic,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-21923,profitable,動詞,,利益の上がる,The bakery became a profitable business.,profitable,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-21988,hesitation,形容詞,,ためらい,She answered the question without hesitation.,hesitation,noun,noun,multiple_pos_record_ambiguous,例文なし。多品詞[noun]/answer曖昧/慎重語→人手,0,,
P2,english,en-22044,victorious,名詞,,勝利を得た,The victorious team paraded through the town.,victorious,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-22433,jumpy,名詞,,びくびくした,The jumpy kitten runs away at every sound.,jumpy,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-22467,preposterous,名詞,,ばかげた,Selling the school garden is a preposterous idea.,preposterous,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-22478,heartbroken,名詞,,悲嘆にくれた,The heartbroken fans cried after the final loss.,heartbroken,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-22499,nauseous,動詞,,吐き気がする,The long bus ride made me nauseous.,nauseous,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-22525,dishwasher,形容詞,,皿洗い,The new dishwasher cleans plates very quickly.,dishwasher,noun,noun,multiple_pos_record_ambiguous,例文なし。多品詞[noun]/answer曖昧/慎重語→人手,0,,
P2,english,en-22556,disobey,形容詞,,服従しない,Children sometimes disobey their parents.,disobey,verb,verb,multiple_pos_record_ambiguous,例文なし。多品詞[verb]/answer曖昧/慎重語→人手,0,,
P2,english,en-22780,faulty,動詞,,欠陥のある,The store replaced the faulty toaster for free.,faulty,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-22799,delirious,名詞,,錯乱した,The high fever made the patient delirious.,delirious,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,english,en-22903,hateful,名詞,,憎むべき,Hateful words can hurt people deeply.,Hateful,adjective,adjective,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00336,모르다,形容詞,,知らない,나는 그 사람을 잘 모른다.,모른다,verb,,multiple_pos_record_ambiguous,例文なし。多品詞[verb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00405,다르다,動詞,,違う,이 두 가방은 색이 다르다.,다르다,adjective,,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00428,많이,名詞,,たくさん,나는 밥을 많이 먹는다.,많이,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00431,또,名詞,,また,나는 내일 또 온다.,또,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00433,가끔,名詞,,時々,나는 가끔 영화를 본다.,가끔,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00437,벌써,動詞,,もう,그는 벌써 집에 갔다.,벌써,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00438,아직,名詞,,まだ,나는 아직 밥을 안 먹었다.,아직,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00441,갑자기,名詞,,突然,갑자기 비가 온다.,갑자기,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00447,꼭,名詞,,必ず,나는 내일 꼭 온다.,꼭,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00452,어떻게,名詞,,どうやって,학교에 어떻게 가니?,어떻게,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00453,그리고,名詞,,そして,나는 빵 그리고 우유를 먹는다.,그리고,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00459,여기,名詞,,ここ,여기가 우리 학교이다.,여기,pronoun,,multiple_pos_record_ambiguous,例文なし。多品詞[pronoun]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00460,거기,名詞,,そこ,너는 거기에서 뭐 하니?,거기,pronoun,,multiple_pos_record_ambiguous,例文なし。多品詞[pronoun]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00479,매년,名詞,,毎年,우리는 매년 바다에 간다.,매년,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00737,궁금하다,動詞,,気になる,나는 그 결과가 궁금하다.,궁금하다,adjective,,multiple_pos_record_ambiguous,例文なし。多品詞[adjective]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00771,그러나,名詞,,だが,나는 바쁘다. 그러나 운동을 한다.,그러나,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00773,그러면,名詞,,それなら,지금 자라. 그러면 내일 일찍 일어난다.,그러면,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00775,왜냐하면,名詞,,なぜなら,나는 집에 있다. 왜냐하면 비가 오기 때문이다.,왜냐하면,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00777,전혀,名詞,,全く（〜ない）,나는 그 사람을 전혀 모른다.,전혀,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00781,물론,名詞,,もちろん,나는 물론 그 소식을 안다.,물론,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00786,결국,名詞,,結局,그는 결국 성공했다.,결국,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00795,오히려,名詞,,むしろ,약을 먹었지만 오히려 더 아프다.,오히려,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00797,혹시,名詞,,もしかして,혹시 이 사람을 아니?,혹시,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00798,만약,名詞,,もし,만약 비가 오면 집에 있다.,만약,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00877,차이,形容詞,,違い,두 물건은 차이가 아주 크다.,차이,noun,,multiple_pos_record_ambiguous,例文なし。多品詞[noun]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-00936,저장하다,名詞,,保存する（データを）,,,verb,,multiple_pos_record_ambiguous,例文なし。多品詞[verb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-01033,맹세하다,名詞,,誓う（宣誓）,,,verb,,multiple_pos_record_ambiguous,例文なし。多品詞[verb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-01318,설거지,形容詞,,皿洗い,,,noun,,multiple_pos_record_ambiguous,例文なし。多品詞[noun]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-01373,설렘,名詞,,ときめき,,,verb,,multiple_pos_record_ambiguous,例文なし。多品詞[verb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-01483,후추,動詞,,こしょう,,,noun,,multiple_pos_record_ambiguous,例文なし。多品詞[noun]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-01499,간식,動詞,,おやつ,,,noun,,multiple_pos_record_ambiguous,例文なし。多品詞[noun]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-01504,대체로,名詞,,おおむね,,,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-01505,도대체,名詞,,一体,,,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-01507,차라리,名詞,,いっそ,,,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-01508,게다가,名詞,,その上,,,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-01510,그렇지만,名詞,,そうだけれど,,,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-01515,한편,名詞,,一方,,,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-01516,결코,名詞,,決して,,,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-01517,과연,名詞,,果たして,,,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-01519,도저히,形容詞,,とうてい,,,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-01520,하필,名詞,,よりによって,,,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P2,korean,ko-01521,어차피,名詞,,どうせ,,,adverb,,multiple_pos_record_ambiguous,例文なし。多品詞[adverb]/answer曖昧/慎重語→人手,0,,
P3,english,en-00194,around,名詞,,の周りに,We sat around the table and talked.,around,adverb,preposition|adjective|adverb,multiple_pos_record_ambiguous,"例文なし。多品詞[adverb,preposition,adjective]/answer曖昧/慎重語→人手",0,,
P3,english,en-00415,either,名詞,,どちらかの,"You can choose either color, red or blue.",either,adverb,determiner|pronoun|adverb|conjunction,multiple_pos_record_ambiguous,"例文なし。多品詞[adverb,determiner,pronoun,conjunction]/answer曖昧/慎重語→人手",0,,
P3,english,en-00777,below,名詞,,の下に,Write your name below the line.,below,adverb,preposition|adverb|proper noun,multiple_pos_record_ambiguous,"例文なし。多品詞[adverb,preposition,proper noun]/answer曖昧/慎重語→人手",0,,
P3,english,en-00886,except,名詞,,除いて,Everyone came except my brother.,except,verb,verb|preposition|conjunction,multiple_pos_record_ambiguous,"例文なし。多品詞[verb,preposition,conjunction]/answer曖昧/慎重語→人手",0,,
P3,english,en-01042,laughter,形容詞,,笑い,The room was full of laughter.,laughter,noun,noun|proper noun,multiple_pos_record_ambiguous,"例文なし。多品詞[noun,proper noun]/answer曖昧/慎重語→人手",0,,
P3,english,en-01116,nobody,形容詞,,誰も〜ない,Nobody knew the answer to the question.,Nobody,noun,pronoun|noun,multiple_pos_record_ambiguous,"例文なし。多品詞[noun,pronoun]/answer曖昧/慎重語→人手",0,,
P3,english,en-01213,excellent,名詞,,すぐれた,She got an excellent score on the test.,excellent,adjective,adjective|adverb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,adverb]/answer曖昧/慎重語→人手",0,,
P3,english,en-02198,beneath,名詞,,の下に,The cat was sleeping beneath the table.,beneath,adverb,adverb|preposition,multiple_pos_record_ambiguous,"例文なし。多品詞[adverb,preposition]/answer曖昧/慎重語→人手",0,,
P3,english,en-02323,creative,動詞,,創造力のある,She is a creative child who makes original toys.,creative,adjective,adjective|noun,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,noun]/answer曖昧/慎重語→人手",0,,
P3,english,en-02569,historic,動詞,,歴史に残る,The team won a historic victory yesterday.,historic,adjective,adjective|noun,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,noun]/answer曖昧/慎重語→人手",0,,
P3,english,en-02847,united,名詞,,団結した,The united team won the final game.,united,adjective,verb|adjective|proper noun,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb,proper noun]/answer曖昧/慎重語→人手",0,,
P3,english,en-02892,john,形容詞,,手洗い,,,noun,noun|proper noun,multiple_pos_record_ambiguous,"例文なし。多品詞[noun,proper noun]/answer曖昧/慎重語→人手",0,,
P3,english,en-03142,according,名詞,,～によれば,"According to the news, it will snow tonight.",According,adjective,verb|adjective|adverb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb,adverb]/answer曖昧/慎重語→人手",0,,
P3,english,en-03191,located,名詞,,位置した,It's located very near the station.,located,adjective,verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-03276,considered,名詞,,よく考えた,We considered the report as false.,considered,adjective,verb|adjective,multiple_pos_record_ambiguous,分詞(considered)は動詞義/形容詞義の両方あり(辞書にadjective)・例文は動詞だがレコード採用義要確認→人手,0,,
P3,english,en-03370,established,名詞,,確立された,This is an established way of teaching.,established,adjective,verb|adjective,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-03425,accepted,名詞,,一般に認められた,The theory is not accepted yet.,accepted,adjective,verb|adjective,multiple_pos_record_ambiguous,分詞(accepted)は動詞義/形容詞義の両方あり(辞書にadjective)・例文は動詞だがレコード採用義要確認→人手,0,,
P3,english,en-03602,informed,名詞,,情報に通じた,We need an informed decision.,informed,adjective,verb|adjective,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-03619,integrated,名詞,,統合された,This is an integrated system for music and video.,integrated,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-03668,extended,名詞,,延長された,The library announced the extended opening hours.,extended,adjective,verb|adjective,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-03702,determined,名詞,,断固とした,His determined face showed his strong will.,determined,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-03850,forced,名詞,,強制された,The forced march made the soldiers tired.,forced,adjective,verb|adjective,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-03929,removed,名詞,,遠く離れた,His theory is far removed from fact.,removed,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-03978,agreed,名詞,,一致した,He agreed to be here at 6.,agreed,adjective,verb|adjective|interjection,multiple_pos_record_ambiguous,分詞(agreed)は動詞義/形容詞義の両方あり(辞書にadjective)・例文は動詞だがレコード採用義要確認→人手,0,,
P3,english,en-04070,revised,名詞,,改訂された,The revised textbook comes out next month.,revised,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-04073,amazing,名詞,,驚くべき,The magician showed us an amazing trick.,amazing,adjective,verb|adjective,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-04096,licensed,名詞,,免許を受けた,She is a licensed nurse at the hospital.,licensed,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-04107,finished,名詞,,完成した,The finished painting hangs on the wall.,finished,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-04317,authorized,名詞,,認可された,Only authorized staff can enter this room.,authorized,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-04429,outstanding,名詞,,優れた,She is an outstanding player on our team.,outstanding,adjective,verb|adjective,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-04431,planned,名詞,,計画された,The planned picnic was moved to Sunday.,planned,adjective,verb|adjective,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-04486,collected,名詞,,落ち着いた,She stayed cool and collected.,collected,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-04744,pursuant,動詞,,（～に）従って,,,adjective,adjective|adverb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,adverb]/answer曖昧/慎重語→人手",0,,
P3,english,en-04757,organized,名詞,,組織された,The organized group cleaned the beach quickly.,organized,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-04827,appointed,名詞,,指定された,Please come at the appointed time.,appointed,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-04915,calculated,名詞,,計算された,The rocket followed a carefully calculated path.,calculated,adjective,verb|adjective,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-05056,covering,形容詞,,覆い,A soft covering protected the new table.,covering,noun,verb|noun,multiple_pos_record_ambiguous,"例文なし。多品詞[noun,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-05086,confirmed,名詞,,確認された,The confirmed time of the meeting is three.,confirmed,adjective,verb|adjective,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-05331,armed,名詞,,武装した,Armed guards stood at the castle gate.,Armed,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-05357,sealed,名詞,,密封された,The sealed bottle kept the juice fresh.,sealed,adjective,verb|adjective,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-05515,studied,名詞,,熟慮した,He studied the way birds fly.,studied,adjective,verb|adjective,multiple_pos_record_ambiguous,分詞(studied)は動詞義/形容詞義の両方あり(辞書にadjective)・例文は動詞だがレコード採用義要確認→人手,0,,
P3,english,en-05658,animated,名詞,,生き生きとした,The class had an animated talk about the trip.,animated,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-05816,declared,名詞,,公然と認められた,She declared that she was right.,declared,adjective,verb|adjective,multiple_pos_record_ambiguous,分詞(declared)は動詞義/形容詞義の両方あり(辞書にadjective)・例文は動詞だがレコード採用義要確認→人手,0,,
P3,english,en-05853,inspired,名詞,,霊感を受けた,His speech inspired all the boys.,inspired,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-06032,retired,名詞,,引退した,My retired uncle enjoys fishing every day.,retired,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-06177,resolved,名詞,,決心した,She resolved on going to college.,resolved,adjective,verb|adjective,multiple_pos_record_ambiguous,分詞(resolved)は動詞義/形容詞義の両方あり(辞書にadjective)・例文は動詞だがレコード採用義要確認→人手,0,,
P3,english,en-06348,repeated,名詞,,繰り返された,His repeated mistakes made the teacher angry.,repeated,adjective,verb|adjective,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-06505,balanced,名詞,,バランスの取れた,A balanced diet keeps your body healthy.,balanced,adjective,verb|adjective,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-06506,prescribed,名詞,,定められた,The doctor prescribed it for her.,prescribed,adjective,verb|adjective,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-06580,advised,名詞,,熟慮された,He advised me to go there.,advised,adjective,adjective|verb,multiple_pos_record_ambiguous,分詞(advised)は動詞義/形容詞義の両方あり(辞書にadjective)・例文は動詞だがレコード採用義要確認→人手,0,,
P3,english,en-06590,isolated,名詞,,孤立した,The isolated village has no train station.,isolated,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-06660,composed,名詞,,落ち着いた,She stayed composed during the difficult interview.,composed,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-06744,sophisticated,名詞,,洗練された,The restaurant is known for its sophisticated dishes.,sophisticated,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-07075,injured,名詞,,負傷した,The injured player left the field slowly.,injured,adjective,verb|adjective,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-07212,handed,名詞,,手渡した,I handed a map to him.,handed,adjective,adjective|verb,multiple_pos_record_ambiguous,分詞(handed)は動詞義/形容詞義の両方あり(辞書にadjective)・例文は動詞だがレコード採用義要確認→人手,0,,
P3,english,en-07333,accomplished,名詞,,熟達した,The accomplished pianist played without any mistakes.,accomplished,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-07393,skilled,名詞,,熟練した,The skilled worker fixed the machine in an hour.,skilled,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-07569,allied,名詞,,同盟した,The allied countries worked together for peace.,allied,adjective,verb|adjective,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-07630,attempted,名詞,,企てた,I attempted to solve the problem.,attempted,adjective,adjective|verb,multiple_pos_record_ambiguous,分詞(attempted)は動詞義/形容詞義の両方あり(辞書にadjective)・例文は動詞だがレコード採用義要確認→人手,0,,
P3,english,en-07927,sustained,名詞,,持続した,The project needs sustained effort for many years.,sustained,adjective,verb|adjective,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
